Tarih,TUFE,USD,EUR,GBP,CHF,ALTIN,ISTANBUL,ANKARA,IZMIR,TURKIYE
2021-10,584.32,9.1399450,10.601325,12.475785,9.86118,521.44,8169.7,3830.7,6336.5,5323.1
2021-11,604.84,10.52326364,12.01139545,14.1544,11.38119091,634.13,9154.7,4205.8,6886.3,5858.3
2021-12,686.95,13.52849565,15.28957826,17.96004783,14.65038261,817.61,10094,4566.4,7508.5,6372.6
2022-01,763.23,13.5192619,15.31479524,18.30352381,14.69362857,795.39,11775.9,5253.1,9002,7479.3
2022-02,799.93,13.621125,15.44385,18.4121,14.72199,824.04,13835.5,6237.4,10072.4,8646
2022-03,843.64,14.5656087,16.05401739,19.16943913,15.62903478,926.51,15325.7,6837.7,11051.9,9501.9
2022-04,904.79,14.68356667,15.93217619,19.02198095,15.5606619,921.01,17266.2,7544,12274.9,10561.3
2022-05,931.76,15.62392222,16.52858333,19.39886111,15.90597222,944.07,19605.1,8424.1,13789.4,11946.6
2022-06,977.9,16.96471818,17.95923636,20.91035909,17.4554,1018.48,21271.3,9163.7,14946.2,13001.4
2022-07,1001.03,17.38741667,17.77287778,20.84315556,17.92575556,998.91,22592.6,9946,16214.5,13929.5
2022-08,1015.65,17.99495,18.25220909,21.60702273,18.7977,1040.39,24480.2,10767.7,17229.9,15052.5
2022-09,1046.89,18.28147727,18.12869545,20.72597273,18.74490455,1010.29,25714.8,11323.8,18761.3,15863.3
